"Sample","Tau","n","InflToExp_C","InflToExp_L","ExpToInfl_C","ExpToInfl_L","NET_MICH"
"Full",0.5,579,5.6,12.6,6.4,8,-3.9
"Full",0.7,579,9.2,16.1,12.9,20.3,7.9
"Full",0.9,579,15.2,30.3,19.6,36.4,10.4
"LateGI",0.5,60,16.9,32.5,20.1,23.5,-5.8
"LateGI",0.7,60,12.5,27.9,13.9,22.1,-4.4
"LateGI",0.9,60,5.1,8.9,4.7,15.5,6.2
"Core",0.5,444,5.6,7,8,3.2,-1.4
"Core",0.7,444,5.8,8.5,11.2,7.3,4.2
"Core",0.9,444,11.4,11.4,20.7,26.2,24.1
"COVID",0.5,75,1.7,11.6,2.8,3.8,-6.7
"COVID",0.7,75,4.6,8.7,5.4,3.6,-4.3
"COVID",0.9,75,3.2,5.5,3.4,4.2,-1.1
