"Tau","Series","FROM_Total","TO_C","TO_L","TO_Total","NET_Total"
0.1,"Food",2.773,1.112,1.321,2.433,-0.34
0.1,"Gasoline",2.877,1.954,3.94,5.894,3.018
0.1,"HHEnergy",4.281,1.981,3.376,5.358,1.077
0.1,"CoreGoods",9.916,6.2,2.463,8.663,-1.253
0.1,"Shelter",5.823,3.299,3.262,6.561,0.739
0.1,"CoreServ_xS",7.616,2.238,2.138,4.376,-3.24
0.3,"Food",6.106,2.062,4.67,6.731,0.626
0.3,"Gasoline",1.643,1.141,1.316,2.457,0.815
0.3,"HHEnergy",5.504,1.842,3.701,5.543,0.039
0.3,"CoreGoods",11.95,5.759,7.384,13.143,1.194
0.3,"Shelter",9.711,3.06,7.115,10.175,0.464
0.3,"CoreServ_xS",9.938,2.165,4.636,6.801,-3.137
0.5,"Food",9.673,3.253,6.117,9.37,-0.303
0.5,"Gasoline",1.363,0.681,1.179,1.861,0.497
0.5,"HHEnergy",7.152,3.498,5.307,8.805,1.653
0.5,"CoreGoods",20.091,9.227,11.087,20.314,0.223
0.5,"Shelter",16.273,6.431,10.9,17.33,1.058
0.5,"CoreServ_xS",16.297,4.861,8.308,13.169,-3.128
0.7,"Food",15.029,5.684,11.717,17.401,2.373
0.7,"Gasoline",4.346,2.349,2.779,5.128,0.782
0.7,"HHEnergy",15.145,6.916,8.069,14.985,-0.161
0.7,"CoreGoods",27.512,12.465,16.918,29.382,1.87
0.7,"Shelter",29.464,8.267,21.405,29.671,0.207
0.7,"CoreServ_xS",26.69,6.791,14.828,21.619,-5.071
0.9,"Food",43.003,12.234,26.475,38.709,-4.294
0.9,"Gasoline",9.238,4.689,4.549,9.238,0
0.9,"HHEnergy",26.254,9.982,14.917,24.899,-1.355
0.9,"CoreGoods",41.165,15.182,23.074,38.257,-2.908
0.9,"Shelter",50.168,18.521,37.091,55.613,5.444
0.9,"CoreServ_xS",41.47,10.777,33.805,44.582,3.112
