"nlag","tau","type","base","lower","upper","B_eff"
2,0.1,"at",5.548,4.4,6.605,10
2,0.1,"ct",2.797,1.861,3.755,10
2,0.1,"lt",2.75,2.263,3.356,10
2,0.3,"at",7.475,6.986,7.836,10
2,0.3,"ct",2.672,2.175,2.969,10
2,0.3,"lt",4.804,4.304,5.264,10
2,0.5,"at",11.808,10.01,13.789,10
2,0.5,"ct",4.658,3.496,6.088,10
2,0.5,"lt",7.15,6.504,7.985,10
2,0.7,"at",19.698,17.81,21.411,10
2,0.7,"ct",7.078,5.805,7.993,10
2,0.7,"lt",12.619,11.71,13.868,10
2,0.9,"at",35.216,32.891,38.221,10
2,0.9,"ct",11.898,10.366,13.969,10
2,0.9,"lt",23.319,21.619,25.485,10
