"tau","window","estimator","nlag","n","TCI","TCI_C","TCI_L","Wages_to_CPI_L","CPI_to_Wages_L","spiral_L"
0.5,"Full","Genizi",2,746,10.78,5.19,5.59,5.02,6.15,11.18
0.5,"Full","LASSO",2,746,5.67,1.43,4.25,3.77,4.72,8.49
0.5,"Full","LASSO",6,746,7.14,0.1,7.03,7.67,6.4,14.07
0.5,"GreatInflation","Genizi",2,191,7.01,4.18,2.83,2.75,2.91,5.66
0.5,"GreatInflation","LASSO",2,191,3.18,0.34,2.84,1.62,4.06,5.68
0.5,"GreatInflation","LASSO",6,191,5.19,0.11,5.08,7.07,3.08,10.15
0.5,"Core","Genizi",2,444,1.64,1.19,0.45,0.18,0.71,0.89
0.5,"Core","LASSO",2,444,1.01,0.67,0.34,0.22,0.45,0.68
0.5,"Core","LASSO",6,444,1.12,0.19,0.93,0,1.85,1.85
0.5,"COVID","Genizi",2,75,0.07,0,0.07,0.01,0.13,0.14
0.5,"COVID","LASSO",2,75,4.97,1.58,3.38,0,6.77,6.77
0.5,"COVID","LASSO",6,75,7.58,1.11,6.47,0.54,12.4,12.94
0.5,"Pre_1964_2019","Genizi",2,671,13.28,7.35,5.92,5.99,5.86,11.85
0.5,"Pre_1964_2019","LASSO",2,671,6.6,2.1,4.5,4.58,4.42,9
0.5,"Pre_1964_2019","LASSO",6,671,7.47,0.14,7.33,8.72,5.93,14.65
0.5,"Post_1983_2026","Genizi",2,519,1.24,0.72,0.52,0.18,0.86,1.04
0.5,"Post_1983_2026","LASSO",2,519,1.26,0.5,0.76,0.46,1.05,1.52
0.5,"Post_1983_2026","LASSO",6,519,2.54,0.14,2.4,1.55,3.24,4.79
0.7,"Full","Genizi",2,746,16.57,8.17,8.4,7.66,9.15,16.81
0.7,"Full","LASSO",2,746,10,2.68,7.32,6.51,8.12,14.63
0.7,"Full","LASSO",6,746,10.79,0.45,10.34,11.71,8.97,20.68
0.7,"GreatInflation","Genizi",2,191,9.91,3.96,5.94,4.47,7.42,11.89
0.7,"GreatInflation","LASSO",2,191,4.84,0.76,4.08,4,4.16,8.16
0.7,"GreatInflation","LASSO",6,191,7.17,0.49,6.68,9.41,3.95,13.36
0.7,"Core","Genizi",2,444,1.41,0.87,0.54,0.17,0.9,1.07
0.7,"Core","LASSO",2,444,1.83,1.2,0.63,0.25,1.01,1.26
0.7,"Core","LASSO",6,444,2.84,0.56,2.28,1.98,2.58,4.56
0.7,"COVID","Genizi",2,75,0.12,0,0.12,0.01,0.23,0.24
0.7,"COVID","LASSO",2,75,6.01,0,6.01,3.86,8.16,12.02
0.7,"COVID","LASSO",6,75,10.21,0.36,9.84,1.91,17.78,19.69
0.7,"Pre_1964_2019","Genizi",2,671,18.45,9.41,9.04,9.07,9.01,18.08
0.7,"Pre_1964_2019","LASSO",2,671,11.5,3.79,7.71,7.33,8.1,15.43
0.7,"Pre_1964_2019","LASSO",6,671,11.43,0.48,10.95,12.74,9.16,21.9
0.7,"Post_1983_2026","Genizi",2,519,1.82,0.87,0.96,0.25,1.66,1.92
0.7,"Post_1983_2026","LASSO",2,519,2.14,1.03,1.11,0.75,1.46,2.22
0.7,"Post_1983_2026","LASSO",6,519,3.86,0.27,3.58,3.42,3.75,7.17
0.9,"Full","Genizi",2,746,21.65,7.84,13.81,11.47,16.15,27.63
0.9,"Full","LASSO",2,746,11.5,1.55,9.95,9.27,10.62,19.89
0.9,"Full","LASSO",6,746,12.63,0.09,12.54,15.49,9.58,25.07
0.9,"GreatInflation","Genizi",2,191,1.88,0.81,1.07,0.6,1.54,2.14
0.9,"GreatInflation","LASSO",2,191,1.55,0.83,0.72,0.48,0.96,1.44
0.9,"GreatInflation","LASSO",6,191,1.74,0.21,1.53,2.13,0.92,3.05
0.9,"Core","Genizi",2,444,1.48,1.1,0.37,0.2,0.54,0.74
0.9,"Core","LASSO",2,444,2.11,1.63,0.48,0,0.97,0.97
0.9,"Core","LASSO",6,444,3.58,0.12,3.47,3.42,3.51,6.93
0.9,"COVID","Genizi",2,75,0.22,0,0.22,0.1,0.33,0.43
0.9,"COVID","LASSO",2,75,5.76,0,5.76,7.76,3.76,11.53
0.9,"COVID","LASSO",6,75,18.98,0,18.98,18.16,19.8,37.96
0.9,"Pre_1964_2019","Genizi",2,671,25.17,9.98,15.19,15.47,14.92,30.39
0.9,"Pre_1964_2019","LASSO",2,671,14.12,2.72,11.4,10.91,11.9,22.81
0.9,"Pre_1964_2019","LASSO",6,671,14.23,0.34,13.89,17.29,10.49,27.78
0.9,"Post_1983_2026","Genizi",2,519,3.65,1.51,2.14,1.28,3,4.28
0.9,"Post_1983_2026","LASSO",2,519,3.41,0.97,2.44,1.4,3.48,4.88
0.9,"Post_1983_2026","LASSO",6,519,6.02,0.62,5.4,6.06,4.74,10.8
