"tau","window","estimator","nlag","n","TCI","TCI_C","TCI_L","Wages_to_CPI_L","CPI_to_Wages_L","spiral_L"
0.5,"Full","Genizi",2,249,25.74,11.91,13.84,14.64,13.03,27.67
0.5,"Full","Genizi",4,249,25.07,9.54,15.53,17.17,13.89,31.05
0.5,"Full","LASSO",2,249,13.99,0.67,13.32,12.48,14.15,26.63
0.5,"Full","LASSO",4,249,14.53,0.68,13.85,12.68,15.03,27.71
0.5,"GreatInflation","Genizi",2,63,18.45,10.31,8.14,11.59,4.69,16.28
0.5,"GreatInflation","Genizi",4,63,19.45,9.75,9.69,11.75,7.64,19.38
0.5,"GreatInflation","LASSO",2,63,9.15,0.57,8.58,8.84,8.32,17.16
0.5,"GreatInflation","LASSO",4,63,11.92,2.46,9.46,10.02,8.91,18.93
0.5,"Core","Genizi",2,148,5.85,1.85,4,4.51,3.49,8
0.5,"Core","Genizi",4,148,6.92,1.74,5.18,7.02,3.35,10.36
0.5,"Core","LASSO",2,148,4.31,1.27,3.04,1.9,4.18,6.08
0.5,"Core","LASSO",4,148,3.08,1.2,1.87,0.15,3.6,3.74
0.5,"COVID","Genizi",2,26,8.46,5.03,3.42,0.4,6.45,6.85
0.5,"COVID","Genizi",4,26,24.71,14.08,10.63,8.55,12.71,21.26
0.5,"COVID","LASSO",2,26,20.78,0,20.78,6.86,34.69,41.55
0.5,"COVID","LASSO",4,26,25.78,3.77,22.01,20.21,23.81,44.02
0.7,"Full","Genizi",2,249,32.56,13.63,18.93,19.33,18.53,37.86
0.7,"Full","Genizi",4,249,31.73,9.77,21.96,23.63,20.29,43.92
0.7,"Full","LASSO",2,249,18.48,0.89,17.58,17.39,17.78,35.17
0.7,"Full","LASSO",4,249,18.43,0.34,18.09,17.22,18.97,36.19
0.7,"GreatInflation","Genizi",2,63,22.84,10.42,12.42,14.35,10.49,24.84
0.7,"GreatInflation","Genizi",4,63,23.06,8.18,14.88,17.07,12.68,29.75
0.7,"GreatInflation","LASSO",2,63,8.89,0.58,8.3,8.23,8.38,16.61
0.7,"GreatInflation","LASSO",4,63,9.98,0.74,9.23,10.67,7.79,18.47
0.7,"Core","Genizi",2,148,5.66,3.16,2.5,2.36,2.64,5
0.7,"Core","Genizi",4,148,6.15,3.19,2.96,3.41,2.5,5.92
0.7,"Core","LASSO",2,148,5.15,1.14,4.02,4.14,3.89,8.03
0.7,"Core","LASSO",4,148,5.24,1.07,4.17,3.57,4.77,8.34
0.7,"COVID","Genizi",2,26,10.85,5.99,4.86,1.07,8.66,9.72
0.7,"COVID","Genizi",4,26,31.27,15.38,15.89,17.34,14.43,31.77
0.7,"COVID","LASSO",2,26,23.28,1.43,21.84,13.46,30.23,43.68
0.7,"COVID","LASSO",4,26,23.48,1.98,21.5,15.81,27.19,43
0.9,"Full","Genizi",2,249,53.38,23.94,29.44,35.07,23.81,58.88
0.9,"Full","Genizi",4,249,50.42,14.42,36,42.23,29.77,72.01
0.9,"Full","LASSO",2,249,20.22,0.16,20.06,23.96,16.16,40.12
0.9,"Full","LASSO",4,249,21.19,0.01,21.18,24.87,17.5,42.36
0.9,"GreatInflation","Genizi",2,63,24.27,14.91,9.36,9.79,8.94,18.72
0.9,"GreatInflation","Genizi",4,63,52.65,20.19,32.46,11.28,53.64,64.92
0.9,"GreatInflation","LASSO",2,63,6.22,1.48,4.74,4,5.49,9.49
0.9,"GreatInflation","LASSO",4,63,8.73,1.71,7.02,9.43,4.62,14.05
0.9,"Core","Genizi",2,148,4.11,2.97,1.15,0.95,1.34,2.29
0.9,"Core","Genizi",4,148,4.68,2.47,2.21,1.82,2.6,4.41
0.9,"Core","LASSO",2,148,5.83,0.4,5.43,8.31,2.56,10.86
0.9,"Core","LASSO",4,148,6.63,0.44,6.19,7.77,4.61,12.39
0.9,"COVID","Genizi",2,26,13.31,1.91,11.4,6.65,16.14,22.79
0.9,"COVID","Genizi",4,26,54.86,5.92,48.93,37.11,60.76,97.87
0.9,"COVID","LASSO",2,26,31.9,9.1,22.81,14.95,30.66,45.61
0.9,"COVID","LASSO",4,26,24.97,0,24.97,21.58,28.36,49.95
